quantum_ms,algorithm,process,arrival_ms,burst_ms,priority,start_ms,completion_ms,turnaround_ms,waiting_ms,response_ms,average_turnaround_ms,average_waiting_ms,average_response_ms,makespan_ms,context_switches,wall_elapsed_ms
40,RR,P3,20,60,0,80,250,230,170,60,171.00,119.00,55.00,260,8,0
40,RR,P4,35,30,2,120,150,115,85,85,171.00,119.00,55.00,260,8,0
40,RR,P5,50,50,1,150,260,210,160,100,171.00,119.00,55.00,260,8,0
40,SJF,P1,0,80,3,0,80,80,0,0,137.00,85.00,85.00,260,5,0
40,SJF,P2,10,40,4,110,150,140,100,100,137.00,85.00,85.00,260,5,0
40,SJF,P3,20,60,0,200,260,240,180,180,137.00,85.00,85.00,260,5,0
40,SJF,P4,35,30,2,80,110,75,45,45,137.00,85.00,85.00,260,5,0
40,SJF,P5,50,50,1,150,200,150,100,100,137.00,85.00,85.00,260,5,0
40,PRIORITY,P1,0,80,3,0,80,80,0,0,155.00,103.00,103.00,260,5,16
40,PRIORITY,P2,10,40,4,220,260,250,210,210,155.00,103.00,103.00,260,5,16
40,PRIORITY,P3,20,60,0,80,140,120,60,60,155.00,103.00,103.00,260,5,16
40,PRIORITY,P4,35,30,2,190,220,185,155,155,155.00,103.00,103.00,260,5,16
40,PRIORITY,P5,50,50,1,140,190,140,90,90,155.00,103.00,103.00,260,5,16
40,MLFQ,P1,0,80,3,0,230,230,150,0,171.00,119.00,55.00,260,8,0
40,MLFQ,P2,10,40,4,40,80,70,30,30,171.00,119.00,55.00,260,8,0
40,MLFQ,P3,20,60,0,80,250,230,170,60,171.00,119.00,55.00,260,8,0
40,MLFQ,P4,35,30,2,120,150,115,85,85,171.00,119.00,55.00,260,8,0
40,MLFQ,P5,50,50,1,150,260,210,160,100,171.00,119.00,55.00,260,8,0
